Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long,geometry
4747,1941.02.01,1941,Provoked,Jamaica,Trelawney Province,Bogue (near Falmouth),Seine,M,,"Left knee, calf & heel bitten by shark trapped in the net PROVOKED INCIDENT",N,07:30,Unknown,,,Feb,JM,,18.1850507,-77.3947693,POINT (-77.39476929999999 18.1850507)
4748,1941.01.29,1941,Unprovoked,South Atlantic Ocean,In Convoy OB 274,Off Sierra Leone,Rescuing,M,19,Clothing torn by sharks,N,19:55,Unknown,,,Jan,Unknown,Unknown,-45.0,-15.0,POINT (-15 -45)
4749,1941.01.00,1941,Sea Disaster,Atlantic Ocean,Unknown,,Adrift,M,,FATAL,Y,19:55,Unknown,FATAL,,Jan,Unknown,Unknown,13.581921,-38.320312,POINT (-38.320312 13.581921)
4750,1941.00.00,1941,Unprovoked,Solomon Islands,New Georgia,Munda,Bathing,M,,Buttock bitten,N,19:55,Unknown,,,,SB,OC,-8.7053941,159.1070693851845,POINT (159.1070693851845 -8.705394099999999)
4751,1941.00.00,1941,Unprovoked,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Standing,M,,FATAL,Y,Early morning,Unknown,FATAL,,,IR,AS,32.6475314,54.5643516,POINT (54.5643516 32.6475314)
4752,1941.00.00,1941,Unprovoked,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,M,,FATAL,Y,Early morning,Unknown,FATAL,,,IR,AS,32.6475314,54.5643516,POINT (54.5643516 32.6475314)
4753,1941.00.00,1941,Unprovoked,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Unknown,M,,"Survived, but suffered a “forequarter amputation”",N,Early morning,Unknown,,,,IR,AS,32.6475314,54.5643516,POINT (54.5643516 32.6475314)
4754,1941.00.00,1941,Unprovoked,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Slipped,M,6,"FATAL, both arms bitten ",Y,Early morning,Unknown,FATAL,,,IR,AS,32.6475314,54.5643516,POINT (54.5643516 32.6475314)
4755,1941.00.00,1941,Unprovoked,Iran,Khuzestan Province,"Ahvaz, on the Karun River",Standing,M,,FATAL,Y,Early morning,Unknown,FATAL,,,IR,AS,32.6475314,54.5643516,POINT (54.5643516 32.6475314)
4756,1941.00.00,1941,Unprovoked,Papua New Guinea,Unknown,"Gaire Village, between Rigo & Port Moresby",Unknown,M,14,"Foot severely bitten, surgically amputated",N,Early morning,Unknown,,,,PG,OC,-5.6816069,144.2489081,POINT (144.2489081 -5.6816069)
4757,1940.12.28,1940,Unprovoked,Australia,New South Wales,"Stockton Beach, Newcastle",Standing,M,23,"FATAL, injuries to lower back ",Y,09:00,Unknown,FATAL,,Dec,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4758,1940.12.20,1940,Unprovoked,South Africa,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,17,"FATAL, multiple injuries to legs & buttocks ",Y,10:00,Unknown,FATAL,,Dec,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4759,1940.12.19,1940,Unprovoked,Australia,Queensland,Double Island Beach,Fishing,M,,Minor injury to leg,N,10:00,Unknown,,,Dec,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4760,1940.12.10,1940,Provoked,Australia,Northern Territory,Darwin,Collecting,M,,Leg severely lacerated PROVOKED INCIDENT,N,10:00,Unknown,,,Dec,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4761,1940.09.00,1940,Unprovoked,Panama,Panama Bay (Pacific Ocean),Otoque Island,Bathing,M,18,FATAL,Y,10:00,shark,FATAL,,Sep,PA,,8.559559,-81.1308434,POINT (-81.1308434 8.559559)
4762,1940.07.13,1940,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing,M,,Ankle bitten,N,10:00,Unknown,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4763,1940.07.13,1940,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing,M,,Struck by shark immediately before it bit Tanner (see below),N,10:00,Unknown,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4764,1940.06.30,1940,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Fishing,M,,Thigh lacerated,N,10:00,shark,,,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4765,1940.03.31,1940,Unprovoked,South Africa,KwaZulu-Natal,"Danger Pool, Winkelspruit, South Coast",Treading,M,25,"FATAL, right thigh & calf bitten ",Y,11:00,"White shark, species identity confirmed by oth pattern",FATAL,white shark,Mar,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4766,1940.03.20,1940,Unprovoked,Australia,New South Wales,Gerringong,Free,M,,Minor injuries to foot,N,11:00,Wobbegong shark,,wobbegong shark,Mar,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4767,1940.02.22,1940,Unprovoked,South Africa,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,17,"FATAL, left thigh & knee bitten ",Y,16:30,"White shark, [lb], identity confirmed by oth pattern",FATAL,white shark,Feb,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4768,1940.02.20,1940,Boat,Australia,New South Wales,Sydney Harbour,Canoeing,Unknown,,"No injury. Shark grazed canoe, snapped at a piece of mast being trailed in the water & followed it into 2' of water",N,15:30,Unknown,,,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4769,1940.02.04,1940,Unprovoked,Australia,New South Wales,"North Brighton, Botany Bay",Wading,M,55,"FATAL, injuries to both arms  ",Y,14:00,Unknown,FATAL,,Feb,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4770,1940.01.29,1940,Unprovoked,Australia,Queensland,Brisbane River,Diving,M,17,Shoulder nipped,N,14:00,small shark,,,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4771,1940.01.23,1940,Unprovoked,Australia,New South Wales,"North Brighton, Botany Bay",Swimming,M,13,"FATAL, left leg severed  ",Y,10:40,shark,FATAL,,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4772,1940.01.15,1940,Unprovoked,Australia,Queensland,"Surfers Paradise, near Southport",Swimming,M,22,Chest lacerated,N,18:30,Unknown,,,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4773,1940.01.07,1940,Unprovoked,South Africa,KwaZulu-Natal,"Warner Beach, South Coast",Swimming,M,18,"FATAL, leg & thigh bitten  ",Y,16:00,shark,FATAL,,Jan,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4774,1940.01.01,1940,Unprovoked,Australia,Queensland,"Malagil, Barrier Reef",Diving,M,,Thigh  lacerated,N,16:00,Unknown,,,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4775,1940.00.00,1940,Boat,Slovenia,Adriatic Sea,Koper,Boating,Unknown,,"No inury to occupants, shark struck boat",N,16:00, White shark,,white shark,,SI,EU,46.149034549999996,14.626325753340627,POINT (14.62632575334063 46.14903455)
4776,1940.00.00,1940,Unprovoked,Papua New Guinea,Bwagaoia,"Bagalina, North coast Misima Island",Unknown,F,,FATAL,Y,16:00,Unknown,FATAL,,,PG,OC,-5.6816069,144.2489081,POINT (144.2489081 -5.6816069)
4777,1940.00.00,1940,Unprovoked,Papua New Guinea,Western Papuan Gulf,Kerema ,male,Unknown,,Hand bitten,N,16:00,Unknown,,,,PG,OC,-5.6816069,144.2489081,POINT (144.2489081 -5.6816069)
4778,1940.00.00,1940,Invalid,South Africa,Eastern Cape Province,Kidd's Beach,Swimming,Unknown,,No details,Unknown,16:00,Questionable incident,,,,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4779,1940.00.00,1940,Invalid,South Africa,KwaZulu-Natal,Winkelspruit,Unknown,F,,FATAL,Unknown,16:00,Questionable incident,FATAL,,,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4780,1940.00.00,1940,Invalid,South Africa,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Standing,F,,Leg bitten,Unknown,16:00,Questionable incident,,,,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
4781,1939.12.28,1939,Invalid,Australia,New South Wales,"Cabramatta Creek, George’s River ",Swimming,M,40,Abrasion above knee ,Unknown,16:00,"Questionable incident, said involve  shark",,,Dec,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4782,1939.12.14,1939,Unprovoked,Australia,Queensland,"Rubbish Dump Creek, Mackay",Swimming,M,20,"FATAL, left foot & right leg bitten, later surgically amputated  ",Y,12:15,shark landed hours later,FATAL,,Dec,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4783,1939.11.23,1939,Boat,Australia,New South Wales,Wollongong,Unknown,Unknown,,No injury,N,12:15,"Blue pointer, '",,blue pointer,Nov,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4784,1939.11.11,1939,Provoked,Australia,New South Wales,Maroubra,Unknown,Unknown,,Boat bitten by gaffed shark PROVOKED INCIDENT,N,12:15,whaler shark,,,Nov,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4785,1939.11.09,1939,Boat,Australia,New South Wales,Wollongong,Unknown,Unknown,,No details,Unknown,12:15,Unknown,,,Nov,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4786,1939.11.06,1939,Boat,Australia,New South Wales,Wollongong,Unknown,Unknown,,No details,Unknown,12:15,Unknown,,,Nov,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4787,1939.11.02,1939,Unprovoked,Samoa,Unknown,,Fishing,M,,FATAL,Y,12:15,Unknown,FATAL,,Nov,WS,OC,-13.7693895,-172.12005,POINT (-172.12005 -13.7693895)
4788,1939.10.25,1939,Unprovoked,Australia,Queensland,Near Restoration Rock off Portland Roads ,"Free,",M,27,"Both thighs were lacerated, recovered at Thursday Island hospital",N,12:15,"Tiger shark, , oth fragments retrieved frohis wounds",,tiger shark,Oct,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4789,1939.10.04,1939,Unprovoked,USA,Hawaii,"Kane'ohe Bay, Mokapu, O'ahu",Spearfishing&,M,,Hand bitten,N,12:15,shark,,,Oct,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4790,1939.09.27,1939,Unprovoked,Australia,Torres Strait ,Near Mabuiag Island,Diving,M,,"Leg severely bitten, surgically amputated",N,12:15,Tiger shark,,tiger shark,Sep,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4791,1939.08.01,1939,Provoked,USA,California,"Off San Pedro, Los Angeles County",Fishing,M,33,Harpooned shark bit his arm PROVOKED INCIDENT,N,12:15,Unknown,,,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4792,1939.07.18,1939,Sea Disaster,Pacific Ocean,Unknown,,Japanese&,Unknown,3,Thought to have been taken by a shark,Y,12:15,Unknown,,,Jul,Unknown,Unknown,-0.703107,-120.9375,POINT (-120.9375 -0.703107)
4793,1939.07.16,1939,Provoked,Bahamas,Andros Islands,Blue Hole,"Dress,&",M,38,Minor injury to shoulder & back PROVOKED INCIDENT,N,12:00,"Nurse shark, ",,nurse shark,Jul,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
4794,1939.07.14,1939,Provoked,USA,Texas,"West Bay, 19 miles from Galveston",Seine,M,,Leg bitten by snared shark PROVOKED INCIDENT,N,08:30,shark,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4795,1939.05.03,1939,Unprovoked,USA,Virginia,"At sea, several hundred miles south east of Cape Henry, Virginia",Washed,M,,"FATAL, attacked by shark, body not recovered ",Y,08:30,Unknown,FATAL,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4796,1939.04.12,1939,Unprovoked,Papua New Guinea,Morobe Province,Bulolol,Diving,M,9,FATAL,Y,08:30,Unknown,FATAL,,Apr,PG,OC,-5.6816069,144.2489081,POINT (144.2489081 -5.6816069)
4797,1939.03.24,1939,Unprovoked,Papua New Guinea,Central Province,Port Moresby,Diving,M,,"FATAL, leg severed just below hip ",Y,08:30,large shark,FATAL,,Mar,PG,OC,-5.6816069,144.2489081,POINT (144.2489081 -5.6816069)
